===== VARIABLES DEL MODELO =====
Proceso=PDI | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=958 | Tipo=IntVar | Nombre_ORtools=end_958 | Clave_diccionario=end_var | ID_ORTools=153
Proceso=LAV | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=959 | Tipo=IntVar | Nombre_ORtools=start_959 | Clave_diccionario=start_var | ID_ORTools=156
Proceso=LAV | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=959 | Tipo=IntVar | Nombre_ORtools=end_959 | Clave_diccionario=end_var | ID_ORTools=157
Proceso=PIN | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=960 | Tipo=IntVar | Nombre_ORtools=start_960 | Clave_diccionario=start_var | ID_ORTools=160
Proceso=PIN | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=960 | Tipo=IntVar | Nombre_ORtools=end_960 | Clave_diccionario=end_var | ID_ORTools=161
Proceso=CAL | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=961 | Tipo=IntVar | Nombre_ORtools=start_961 | Clave_diccionario=start_var | ID_ORTools=164
Proceso=CAL | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=961 | Tipo=IntVar | Nombre_ORtools=end_961 | Clave_diccionario=end_var | ID_ORTools=165
Proceso=ENS | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=962 | Tipo=IntVar | Nombre_ORtools=start_962 | Clave_diccionario=start_var | ID_ORTools=168
Proceso=ENS | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=962 | Tipo=IntVar | Nombre_ORtools=end_962 | Clave_diccionario=end_var | ID_ORTools=169
Proceso=TEL | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=963 | Tipo=IntVar | Nombre_ORtools=start_963 | Clave_diccionario=start_var | ID_ORTools=172
Proceso=TEL | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=963 | Tipo=IntVar | Nombre_ORtools=end_963 | Clave_diccionario=end_var | ID_ORTools=173
Proceso=PDI | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=964 | Tipo=IntVar | Nombre_ORtools=start_964 | Clave_diccionario=start_var | ID_ORTools=176
Proceso=PDI | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=964 | Tipo=IntVar | Nombre_ORtools=end_964 | Clave_diccionario=end_var | ID_ORTools=177
Proceso=LAV | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=965 | Tipo=IntVar | Nombre_ORtools=start_965 | Clave_diccionario=start_var | ID_ORTools=180
Proceso=LAV | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=965 | Tipo=IntVar | Nombre_ORtools=end_965 | Clave_diccionario=end_var | ID_ORTools=181
Proceso=PIN | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=966 | Tipo=IntVar | Nombre_ORtools=start_966 | Clave_diccionario=start_var | ID_ORTools=184
Proceso=PIN | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=966 | Tipo=IntVar | Nombre_ORtools=end_966 | Clave_diccionario=end_var | ID_ORTools=185
Proceso=CAL | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=967 | Tipo=IntVar | Nombre_ORtools=start_967 | Clave_diccionario=start_var | ID_ORTools=188
Proceso=CAL | Operario=N/A | Trabajo=HRJUFUGSTLEGG6WP | ID_tarea=967 | Tipo=IntVar | Nombre_ORtools=end_967 | Clave_diccionario=end_var | ID_ORTools=189
Proceso=ENS | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=968 | Tipo=IntVar | Nombre_ORtools=start_968 | Clave_diccionario=start_var | ID_ORTools=192
Proceso=ENS | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=968 | Tipo=IntVar | Nombre_ORtools=end_968 | Clave_diccionario=end_var | ID_ORTools=193
Proceso=TEL | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=969 | Tipo=IntVar | Nombre_ORtools=start_969 | Clave_diccionario=start_var | ID_ORTools=196
Proceso=TEL | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=969 | Tipo=IntVar | Nombre_ORtools=end_969 | Clave_diccionario=end_var | ID_ORTools=197
Proceso=PDI | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=970 | Tipo=IntVar | Nombre_ORtools=start_970 | Clave_diccionario=start_var | ID_ORTools=200
Proceso=PDI | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=970 | Tipo=IntVar | Nombre_ORtools=end_970 | Clave_diccionario=end_var | ID_ORTools=201
Proceso=LAV | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=971 | Tipo=IntVar | Nombre_ORtools=start_971 | Clave_diccionario=start_var | ID_ORTools=204
Proceso=LAV | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=971 | Tipo=IntVar | Nombre_ORtools=end_971 | Clave_diccionario=end_var | ID_ORTools=205
Proceso=PIN | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=972 | Tipo=IntVar | Nombre_ORtools=start_972 | Clave_diccionario=start_var | ID_ORTools=208
Proceso=PIN | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=972 | Tipo=IntVar | Nombre_ORtools=end_972 | Clave_diccionario=end_var | ID_ORTools=209
Proceso=CAL | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=973 | Tipo=IntVar | Nombre_ORtools=start_973 | Clave_diccionario=start_var | ID_ORTools=212
Proceso=CAL | Operario=N/A | Trabajo=5T6UO1JNSJ162XXK | ID_tarea=973 | Tipo=IntVar | Nombre_ORtools=end_973 | Clave_diccionario=end_var | ID_ORTools=213
Proceso=ENS | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=974 | Tipo=IntVar | Nombre_ORtools=start_974 | Clave_diccionario=start_var | ID_ORTools=216
Proceso=ENS | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=974 | Tipo=IntVar | Nombre_ORtools=end_974 | Clave_diccionario=end_var | ID_ORTools=217
Proceso=TEL | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=975 | Tipo=IntVar | Nombre_ORtools=start_975 | Clave_diccionario=start_var | ID_ORTools=220
Proceso=TEL | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=975 | Tipo=IntVar | Nombre_ORtools=end_975 | Clave_diccionario=end_var | ID_ORTools=221
Proceso=PDI | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=976 | Tipo=IntVar | Nombre_ORtools=start_976 | Clave_diccionario=start_var | ID_ORTools=224
Proceso=PDI | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=976 | Tipo=IntVar | Nombre_ORtools=end_976 | Clave_diccionario=end_var | ID_ORTools=225
Proceso=LAV | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=977 | Tipo=IntVar | Nombre_ORtools=start_977 | Clave_diccionario=start_var | ID_ORTools=228
Proceso=LAV | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=977 | Tipo=IntVar | Nombre_ORtools=end_977 | Clave_diccionario=end_var | ID_ORTools=229
Proceso=PIN | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=978 | Tipo=IntVar | Nombre_ORtools=start_978 | Clave_diccionario=start_var | ID_ORTools=232
Proceso=PIN | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=978 | Tipo=IntVar | Nombre_ORtools=end_978 | Clave_diccionario=end_var | ID_ORTools=233
Proceso=CAL | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=979 | Tipo=IntVar | Nombre_ORtools=start_979 | Clave_diccionario=start_var | ID_ORTools=236
Proceso=CAL | Operario=N/A | Trabajo=JSAYPUFLMHOLKI8G | ID_tarea=979 | Tipo=IntVar | Nombre_ORtools=end_979 | Clave_diccionario=end_var | ID_ORTools=237
Proceso=ENS | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=980 | Tipo=IntVar | Nombre_ORtools=start_980 | Clave_diccionario=start_var | ID_ORTools=240
Proceso=ENS | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=980 | Tipo=IntVar | Nombre_ORtools=end_980 | Clave_diccionario=end_var | ID_ORTools=241
Proceso=TEL | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=981 | Tipo=IntVar | Nombre_ORtools=start_981 | Clave_diccionario=start_var | ID_ORTools=244
Proceso=TEL | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=981 | Tipo=IntVar | Nombre_ORtools=end_981 | Clave_diccionario=end_var | ID_ORTools=245
Proceso=PDI | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=982 | Tipo=IntVar | Nombre_ORtools=start_982 | Clave_diccionario=start_var | ID_ORTools=248
Proceso=PDI | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=982 | Tipo=IntVar | Nombre_ORtools=end_982 | Clave_diccionario=end_var | ID_ORTools=249
Proceso=LAV | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=983 | Tipo=IntVar | Nombre_ORtools=start_983 | Clave_diccionario=start_var | ID_ORTools=252
Proceso=LAV | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=983 | Tipo=IntVar | Nombre_ORtools=end_983 | Clave_diccionario=end_var | ID_ORTools=253
Proceso=PIN | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=984 | Tipo=IntVar | Nombre_ORtools=start_984 | Clave_diccionario=start_var | ID_ORTools=256
Proceso=PIN | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=984 | Tipo=IntVar | Nombre_ORtools=end_984 | Clave_diccionario=end_var | ID_ORTools=257
Proceso=CAL | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=985 | Tipo=IntVar | Nombre_ORtools=start_985 | Clave_diccionario=start_var | ID_ORTools=260
Proceso=CAL | Operario=N/A | Trabajo=308J1HZDNL4T9ZIC | ID_tarea=985 | Tipo=IntVar | Nombre_ORtools=end_985 | Clave_diccionario=end_var | ID_ORTools=261
Proceso=ENS | Operario=N/A | Trabajo=T45EVMBVG8LPYO07 | ID_tarea=986 | Tipo=IntVar | Nombre_ORtools=start_986 | Clave_diccionario=start_var | ID_ORTools=264
Proceso=ENS | Operario=N/A | Trabajo=T45EVMBVG8LPYO07 | ID_tarea=986 | Tipo=IntVar | Nombre_ORtools=end_986 | Clave_diccionario=end_var | ID_ORTools=265
Proceso=TEL | Operario=N/A | Trabajo=T45EVMBVG8LPYO07 | ID_tarea=987 | Tipo=IntVar | Nombre_ORtools=start_987 | Clave_diccionario=start_var | ID_ORTools=268
Proceso=TEL | Operario=N/A | Trabajo=T45EVMBVG8LPYO07 | ID_tarea=987 | Tipo=IntVar | Nombre_ORtools=end_987 | Clave_diccionario=end_var | ID_ORTools=269
Proceso=PDI | Operario=N/A | Trabajo=T45EVMBVG8LPYO07 | ID_tarea=988 | Tipo=IntVar | Nombre_ORtools=start_988 | Clave_diccionario=start_var | ID_ORTools=272
Proceso=PDI | Operario=N/A | Trabajo=T45EVMBVG8LPYO07 | ID_tarea=988 | Tipo=IntVar | Nombre_ORtools=end_988 | Clave_diccionario=end_var | ID_ORTools=273
